Campaign_Type,Duration,Budget,Audience_Size,Audience_Age_Group,Engagement_Rate,Conversion_Rate
Instagram,45,95.80276112896577,75579,35-44,7.775562903000708,1.8904060689910716
YouTube,26,84.12352444124747,88376,18-24,1.971575504316236,4.269138601926646
Instagram,50,91.68803795128714,99427,25-34,5.504620088006048,0.7028064305353069
YouTube,41,61.21407729220537,40325,25-34,7.387364991309242,2.0359732776828117
YouTube,40,74.35660429692501,10775,18-24,4.336349277854782,4.858624387509898
YouTube,42,90.26449914604866,85995,45-54,3.37541705500788,4.445119087595912
Snapchat,33,58.882620277892094,23770,35-44,9.124752180522888,4.773701100510437
YouTube,58,22.225241235844123,45524,55-64,3.4550467828817695,2.5746614316262555
YouTube,6,80.46450530888792,1462,25-34,7.349821513988127,3.838894274179521
Facebook,27,57.298543708892076,50814,55-64,6.153350390850658,4.956967139794299
Instagram,26,11.548722356121267,34335,45-54,8.818243456595336,2.9027218707095415
Facebook,33,97.66400501198467,80541,18-24,3.8647808870079667,1.2455249994295277
Facebook,45,21.59289794004628,75203,25-34,4.824634092339996,0.44584783029125963
YouTube,18,95.60836027090608,67098,35-44,6.462022947276278,2.6646098027647644
Instagram,5,90.27220849813281,20947,25-34,9.248304629083457,3.6579821338577707
Instagram,6,57.31135770599247,47744,35-44,4.964172430008375,1.309760779376106
YouTube,37,11.751284851350349,75707,25-34,8.84296815049932,1.5216497727545009
Instagram,52,18.682272188920344,24775,55-64,1.8989280797976895,2.0897567375054598
Instagram,18,39.23117421322324,6657,18-24,2.860858470862827,0.9488203702374856
Facebook,51,52.95329440034626,2210,35-44,2.6909027249016866,2.769893423838418
YouTube,52,90.40096806926965,36698,25-34,3.9732636967448833,3.134081491343413
Facebook,13,44.21208723940783,67353,35-44,2.7648166028539656,1.7255814099959477
YouTube,13,81.73760987363409,97819,45-54,4.682968730584054,4.283217857930932
Snapchat,2,12.47380133310125,35517,55-64,8.693370515807747,3.761840834324125
Instagram,51,56.77807416559461,20764,35-44,3.3175363904869535,2.3228849774737004
Facebook,38,19.700599735088538,31740,55-64,1.4437055340720768,2.303678202987977
YouTube,57,91.10865244850454,18427,55-64,5.055508851838012,3.4422869197115005
Snapchat,51,61.64710181558938,98250,45-54,8.61389832686503,1.9923889843169813
YouTube,1,29.195474031537614,40815,45-54,9.866444232073878,1.435613948588438
Snapchat,24,59.15990465554378,52764,55-64,8.531885323540369,4.071515711375658
Instagram,7,70.50805048106947,3265,35-44,5.857731868830833,2.9224945698800813
Snapchat,11,36.083197955435836,21490,55-64,5.318209083129313,1.4420608353835573
YouTube,48,49.26662993683056,31388,18-24,2.6565417965163824,3.279988490316996
Instagram,10,16.09604549543294,42330,35-44,3.7114735209783136,3.6452427596797374
Instagram,49,77.67722260516918,93286,18-24,8.945623572110392,1.9966562740235192
Snapchat,22,61.30857718699477,87870,55-64,6.866518824793986,0.9635696565931043
TikTok,57,99.10175468570824,87167,25-34,4.192996615129028,3.8371522812639536
Instagram,28,93.69830039181808,34618,18-24,1.8845320635432756,2.5131234328534697
YouTube,56,72.44961325521112,4542,55-64,4.7782144016680865,3.318006380791571
Facebook,55,69.8494877179402,53084,18-24,4.797993758519551,0.6168452813399703
YouTube,17,52.21362066231467,46924,55-64,4.69233575856831,1.1472404303524693
TikTok,39,32.00464024015838,97692,55-64,5.084147380578927,4.14511518587458
Facebook,28,53.156022819236014,69219,55-64,8.880324624186565,3.6039266315757783
TikTok,58,22.15076092265455,73551,35-44,5.770162444712262,4.377893479211759
TikTok,39,87.94849737196253,19688,35-44,7.438825299133673,3.8826627361187005
Snapchat,15,79.311969717904,22308,55-64,2.715087389901055,3.9276236414332706
YouTube,44,76.70968201201593,3308,45-54,8.720744785598619,3.808119058987647
Facebook,45,61.418162917884196,71442,35-44,9.218452407219079,4.827979728166306
YouTube,11,35.08675109870494,53306,18-24,3.0739712220867967,1.5319129200006893
TikTok,51,91.7348482813357,97124,55-64,1.8291736565008645,4.086387565701482
TikTok,54,97.53697048063493,78729,55-64,5.099760029881399,3.418114676643916
Facebook,30,22.263933065642284,1614,45-54,6.4462730608279655,4.26760929091681
Facebook,38,35.63747468332038,64524,55-64,2.3865074637152492,0.9891346932037997
Snapchat,28,71.86481882852365,90437,35-44,8.73868124443226,0.9030123837210078
Instagram,29,73.49014794642365,43742,18-24,8.8452089198876,4.355164482746967
Snapchat,23,52.868829644360964,37652,18-24,1.6252728040335818,0.918585111623521
Snapchat,40,40.86374099494616,21338,45-54,4.272741165469055,1.9826158856339187
Facebook,21,77.18217358528395,88096,25-34,9.289589094600869,1.536759383367011
YouTube,33,51.96874413119733,89960,18-24,7.610576610063079,4.042086873770952
TikTok,54,66.3183741377611,45024,35-44,6.295370224247734,4.908174851539934
Facebook,13,69.78961375366002,94037,35-44,5.61338556954641,1.2681739720348038
Instagram,58,60.18024842966133,95744,45-54,7.553789697300971,3.980942576845197
Instagram,53,45.780269989342294,17153,35-44,2.4398197785537397,2.5789614563218834
TikTok,30,53.9978309418889,58137,25-34,9.876155063981408,2.303238626743417
TikTok,59,38.58430673678271,98173,18-24,4.559323135377445,2.44707632454012
YouTube,50,62.5574143877076,78116,35-44,8.39938821479278,0.9008698536877574
TikTok,4,29.73456134681865,1129,25-34,6.812281431131555,4.4316065015650405
YouTube,48,96.45281523587909,3656,45-54,9.531989175528265,1.1140844189843688
TikTok,12,44.901283811457944,66598,25-34,8.678948618655248,3.5691346929642003
Instagram,23,19.360169041378214,50980,25-34,9.108763825030515,4.280207764949543
Instagram,10,73.60079765879986,13921,35-44,5.019843666522991,0.49727934318945755
Facebook,56,12.61991523915042,86245,18-24,6.925484998003413,3.2085735325754468
Facebook,29,17.540809310503928,60400,25-34,8.018680393850818,3.152346739769121
Facebook,45,55.09885459670352,42659,35-44,7.772855712359711,4.786616733436877
Facebook,18,55.266289341322675,96095,35-44,6.425770377425739,3.289721704097169
TikTok,23,34.36125990196278,68872,55-64,9.194799848961733,4.7216887831320635
YouTube,7,97.45112577088241,10439,25-34,6.747155148692604,2.3466176083487356
Instagram,16,18.11012939644346,6176,55-64,4.7426557582248625,0.8825716262810204
Facebook,40,68.6460932663239,99135,55-64,9.382418034798722,2.5886555855812006
Instagram,20,64.9745753749358,50593,55-64,1.7353569737635688,4.332976829966747
TikTok,27,96.79120475215372,4583,25-34,4.791564730335185,0.9272257085633221
Instagram,24,73.93402575778384,11789,25-34,2.9213441063569348,2.602077072630249
Snapchat,44,38.82857063428644,64798,55-64,6.77046435952699,4.8887501442152335
Instagram,16,10.674841821670071,54728,25-34,2.1398666896650362,1.275392602250513
Snapchat,51,44.967210639245494,95006,25-34,6.049147604676311,0.17373757793238298
Snapchat,21,94.45089707403392,6216,18-24,5.461754013120851,2.0045203116158232
Facebook,50,70.2806603869358,38998,18-24,7.327629511296244,0.7959225577337563
Facebook,54,37.49263593414082,73989,45-54,1.065418380399736,2.288410556589905
Instagram,46,12.519067068539977,99684,18-24,2.097867018928809,2.9316756870457286
Snapchat,45,11.467944448820088,45589,25-34,1.6736677099985624,2.393783227499581
Instagram,31,78.40703791248623,43655,45-54,4.8675112664084,1.1173760251568916
YouTube,44,75.63099486244623,82534,18-24,5.235613839344675,2.865478460862077
TikTok,34,27.72404146061142,63238,18-24,6.165052783755798,4.362034755477019
Instagram,1,28.99540897375891,58561,45-54,3.5552036835067486,1.6519554041248181
Snapchat,16,23.382309343114414,23051,25-34,7.667133605222771,2.2570409434490153
Facebook,43,94.16727253520185,71418,25-34,1.809135915225907,2.752841265129744
Snapchat,32,77.39091579731983,38919,45-54,8.172352368771914,4.356677627244561
Facebook,29,76.97141498209824,72364,45-54,8.915355009483314,1.1344112137131988
TikTok,8,91.16094891800293,50158,45-54,1.0723667922628606,3.6852009962398182
Facebook,30,98.29739549594085,77745,18-24,2.1272950739454437,1.923251294988207
Facebook,14,68.9636363646875,98394,25-34,2.0250882238544143,3.8149482829209673
YouTube,27,60.97049396316521,41647,55-64,3.981333416212021,2.4609654764334112
YouTube,39,58.08819244425655,72813,25-34,7.293349454411602,1.0654882347060435
Facebook,5,24.797298450633065,82835,55-64,2.3967772437411945,4.36871949991778
YouTube,46,93.80123656662181,43617,55-64,8.229976161983515,4.018499769368448
Facebook,36,31.25238442289763,32074,55-64,5.293046298457287,0.27906956668367366
TikTok,34,68.15098813914827,6851,25-34,6.245294818559552,4.650960462448158
Instagram,47,80.16855324830392,78539,25-34,5.740106305199279,0.23180999484198433
YouTube,10,61.35507803670534,38462,25-34,2.2517349417533605,2.874627430917853
TikTok,7,70.51762386732234,34124,45-54,3.23303097446139,4.537343368195146
TikTok,38,24.030125018298648,22879,25-34,8.94695973264179,3.3443433650914263
Instagram,36,19.4066500957149,31211,18-24,3.8620662626186877,1.531173110135336
Snapchat,15,16.497887518528927,87483,35-44,4.561359226450138,0.7477374875000824
Snapchat,19,90.59514234684677,70520,45-54,6.061400073490647,3.6592634471925276
